period,org_code,parent_org,org_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other_ae_department,ae_attendances_booked_appointments_type_1,ae_attendances_booked_appointments_type_2,ae_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_412_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_ae__type_1,emergency_admissions_via_ae__type_2,emergency_admissions_via_ae__other_ae_department,other_emergency_admissions,source_file,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,a,Postcode,latitude,longitude
MSitAE-APRIL-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13762,0,0,0,0,0,3865,0,0,0,0,0,822,2,2759,0,0,802,April-2023-revised-130624-defv1.csv,,,,,,,HD3 3EA,53.655474,-1.816338
MSitAE-APRIL-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,8675,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,TN25 4AZ,51.171892,0.870743
MSitAE-APRIL-2023,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7036,0,0,588,0,0,377,0,0,3,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,2572,0,0,0,0,0,29,0,0,0,0,0,0,0,6,153,April-2023-revised-130624-defv1.csv,,,,,,,SO40 2RZ,50.9313,-1.530052
MSitAE-APRIL-2023,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,April-2023-revised-130624-defv1.csv,,,,,,,WF1 3SP,53.69734,-1.494054
MSitAE-APRIL-2023,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8237,0,10625,234,0,246,3562,0,52,39,0,0,676,698,2457,0,0,1397,April-2023-revised-130624-defv1.csv,,,,,,,FY3 8NR,53.820675,-3.016275
MSitAE-APRIL-2023,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3093,0,0,328,0,0,65,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2491,0,0,106,0,0,41,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2032,0,0,53,0,0,49,0,0,1,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5853,0,3002,123,0,0,3305,0,64,63,0,0,620,82,1756,0,0,919,April-2023-revised-130624-defv1.csv,,,,,,,TQ2 7AA,50.482316,-3.553804
MSitAE-APRIL-2023,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,1864,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,RM13 8GQ,51.518578,0.171162
MSitAE-APRIL-2023,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6486,0,2651,0,0,0,3040,0,146,0,0,0,220,415,1725,0,115,505,April-2023-revised-130624-defv1.csv,,,,,,,KT2 7QB,51.414826,-0.282601
MSitAE-APRIL-2023,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,April-2023-revised-130624-defv1.csv,,,,,,,L14 3PE,53.411151,-2.897989
MSitAE-APRIL-2023,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,April-2023-revised-130624-defv1.csv,,,,,,,BH17 0RB,50.740073,-1.978038
MSitAE-APRIL-2023,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,April-2023-revised-130624-defv1.csv,,,,,,,PL31 2QN,50.471755,-4.740857
MSitAE-APRIL-2023,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5321,0,0,157,0,0,2165,0,0,46,0,0,116,107,1529,0,0,528,April-2023-revised-130624-defv1.csv,,,,,,,HR1 2ER,52.058529,-2.707776
MSitAE-APRIL-2023,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4232,0,10357,0,0,0,0,0,0,0,0,0,190,3,1620,0,409,1786,April-2023-revised-130624-defv1.csv,,,,,,,TS24 9AH,54.702398,-1.227837
MSitAE-APRIL-2023,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8661,1145,3071,0,0,0,3564,0,144,0,0,0,299,286,3356,739,0,858,April-2023-revised-130624-defv1.csv,,,,,,,HP7 0JD,51.663005,-0.621408
MSitAE-APRIL-2023,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,2253,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2141,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April-2023-revised-130624-defv1.csv,,,,,,,NOT AVAILABLE,,
MSitAE-APRIL-2023,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",10876,2144,13038,0,0,0,6568,420,3378,0,0,0,716,722,4526,0,0,377,April-2023-revised-130624-defv1.csv,,,,,,,RM7 0AG,51.568647,0.179031
